School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Schuyler County,1.79,4.36,6.15,2,1,1
Knox County,1.14,4.14,5.27,5,2,2
Maysville,1.71,2.69,4.4,3,7,3
Canton,1.0,3.2,4.2,6,4,4
Vienna,1.2,2.82,4.02,4,6,5
Pilot Grove,-0.03,3.89,3.86,15,3,6
Atlanta,0.78,2.9,3.68,8,5,7
La Plata,0.9,1.91,2.81,7,9,8
Crocker,0.14,1.78,1.91,14,10,9
North Nodaway,0.67,0.85,1.52,9,15,10
Slater,0.18,0.78,0.96,13,16,11
Norwood,-1.35,1.92,0.56,26,8,12
Silex,-0.24,0.74,0.51,16,17,13
Norborne,2.67,-2.33,0.35,1,34,14
Albany,0.27,-0.26,0.01,12,24,15
Dora,-1.42,1.31,-0.1,29,13,16
Russellville,-1.55,1.41,-0.14,31,11,17
Walnut Grove,-0.28,-0.13,-0.42,17,23,18
Community,-0.65,-0.0,-0.65,20,19,19
Northeast (Cairo),-0.69,-0.1,-0.78,21,21,20
Clopton,-2.26,1.05,-1.21,36,14,21
Marion C. Early,0.38,-1.65,-1.27,11,31,22
North Harrison,-1.51,0.14,-1.36,30,18,23
DeKalb,-0.32,-1.04,-1.36,18,28,24
Gallatin,-0.95,-0.41,-1.36,24,26,25
Scotland County,0.64,-2.06,-1.42,10,33,26
Naylor,-1.35,-0.12,-1.47,27,22,27
Weaubleau,-2.96,1.36,-1.6,42,12,28
Princeton,-0.94,-1.08,-2.03,23,29,29
Harrisburg,-0.87,-2.35,-3.22,22,35,30
Madison,-3.09,-0.34,-3.43,45,25,31
Worth County,-3.2,-0.9,-4.09,46,27,32
North Andrew,-0.37,-3.76,-4.13,19,41,33
St. Elizabeth,-0.98,-3.16,-4.15,25,38,34
Halfway,-2.32,-1.91,-4.23,37,32,35
Brashear,-1.39,-2.92,-4.31,28,37,36
Hale,-4.31,-0.08,-4.39,53,20,37
Van Buren,-2.09,-3.6,-5.68,34,40,38
Jamestown,-1.56,-4.41,-5.97,32,44,39
Hardin-Central,-2.16,-4.13,-6.29,35,43,40
Leeton,-3.68,-2.72,-6.39,48,36,41
Wheatland,-4.97,-1.44,-6.42,55,30,42
Tuscumbia,-2.79,-4.03,-6.82,40,42,43
Northeast Nodaway,-3.06,-4.43,-7.49,44,45,44
New Franklin,-2.63,-5.27,-7.89,39,49,45
Bevier,-1.98,-6.04,-8.02,33,52,46
Meadville,-3.04,-5.31,-8.35,43,50,47
Fair Play,-3.72,-4.8,-8.53,49,47,48
Richland,-3.56,-5.02,-8.58,47,48,49
Bakersfield,-2.43,-6.9,-9.33,38,57,50
Green City,-5.92,-3.56,-9.47,59,39,51
Macks Creek,-3.81,-5.96,-9.77,51,51,52
Wellsville-Middletown,-5.04,-4.8,-9.84,56,46,53
Higbee,-4.3,-6.92,-11.22,52,58,54
Humansville,-4.67,-6.7,-11.37,54,55,55
Hermitage,-5.29,-6.18,-11.47,57,54,56
Marion County,-6.5,-6.1,-12.6,62,53,57
North Shelby,-2.87,-9.78,-12.65,41,62,58
Linn County,-5.73,-7.03,-12.76,58,59,59
Pattonsburg,-6.1,-7.47,-13.56,60,60,60
Tri-County,-7.83,-6.78,-14.61,66,56,61
Northwestern (Mendon),-3.74,-12.57,-16.31,50,64,62
Glasgow,-6.12,-10.83,-16.95,61,63,63
Novinger,-7.24,-14.26,-21.5,64,67,64
Newburg,-7.35,-14.35,-21.7,65,68,65
Dadeville,-8.92,-13.08,-22.0,67,65,66
Couch,-7.09,-15.57,-22.66,63,70,67
Mercer,-13.22,-9.75,-22.98,70,61,68
Climax Springs,-10.4,-13.93,-24.33,69,66,69
Winston,-9.74,-14.84,-24.59,68,69,70
